FlareClass,Flare Date,AR,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C14,4/13/2013 0:10,11718,1738.19,27791000000,3.56E+23,3.71849E+13,65.097,1.51265E+12,2.98E+22,850.255,-4611.6,5625.35,4.203,-0.3148,24.975
C12,4/10/2013 0:10,11721,683.767,13552000000,7.33E+22,1.52021E+13,18.404,1.58886E+12,1.09E+22,239.471,-1461.9,3019.72,4.003,-0.2046,13.556
C42,4/11/2013 0:10,11721,1105.31,16820000000,1.45E+23,2.42343E+13,222.236,7.51455E+12,1.34E+22,441.836,-1144,4738.46,4.008,-0.129,26.225
C13,4/15/2013 0:10,11723,743.245,13725000000,1.48E+23,1.60821E+13,73.285,5.42624E+12,9.23E+21,353.352,-779.43,7435.87,4.088,-0.1077,39.185
C13,4/16/2013 0:10,11723,1148.96,16387000000,2.08E+23,2.70428E+13,104.055,5.28378E+12,1.27E+22,565.863,-886.22,6825.66,3.77,-0.1026,44.291
C13,4/20/2013 0:10,11726,931.991,12041000000,1.59E+23,2.10589E+13,220.582,9.4189E+12,7.00E+21,309.061,391.54,8091.3,3.835,0.0617,53.075
C27,4/21/2013 0:10,11726,2789.43,31525000000,5.76E+23,5.34774E+13,935.536,3.63724E+13,2.03E+22,797.151,-584.98,11889.7,4.737,-0.0352,52.361
C25,4/23/2013 0:10,11726,3871.27,58704000000,1.07E+24,6.65591E+13,1102.64,2.88644E+13,3.66E+22,1232.92,-3296.2,14386.1,4.909,-0.1065,48.315
C16,4/24/2013 0:10,11726,4040.81,66763000000,1.11E+24,7.34928E+13,35.604,5.95815E+12,4.89E+22,1576.74,-7002.4,12042.5,4.933,-0.1989,40.723
C26,4/30/2013 0:10,11730,1592.03,14444000000,1.74E+23,3.20116E+13,493.496,2.65245E+13,1.26E+22,753.869,-1037.9,5742.79,4.466,-0.1363,27.481
C55,5/1/2013 0:10,11730,1476.86,15005000000,1.60E+23,3.2084E+13,361.949,1.90251E+13,1.54E+22,665.771,-1892.5,4172.53,4.237,-0.2392,23.98
C40,4/29/2013 0:10,11733,730.88,9792700000,6.36E+22,2.05209E+13,63.799,3.70552E+12,1.08E+22,549.281,-1010.9,2077.35,3.799,-0.1958,16.493
C83,5/5/2013 0:10,11739,2303.7,36291000000,2.67E+23,4.31986E+13,747.842,3.39826E+13,3.12E+22,690.833,-6020.3,4035.79,4.608,-0.3147,11.683
C24,5/6/2013 0:10,11739,1741.57,29429000000,2.14E+23,3.89902E+13,414.702,2.33018E+13,2.60E+22,811.1,-3331.6,3522.66,4.383,-0.2147,16.246
C25,5/10/2013 0:10,11739,1074.55,15289000000,8.43E+22,2.8519E+13,11.986,3.59624E+12,1.19E+22,892.286,-139.57,2615.1,3.58,-0.0173,21.904
C13,5/11/2013 0:10,11744,850.745,16003000000,8.71E+22,1.94358E+13,1.338,1.62149E+12,1.93E+22,373.507,-3804.2,2020.62,3.336,-0.4509,5.988
C50,5/17/2013 0:10,11744,1401.35,13959000000,1.33E+23,3.35283E+13,65.605,3.67617E+12,1.55E+22,933.343,-1902.1,3357.82,4.142,-0.2585,22.142
C83,5/13/2013 0:10,11745,2523.41,67441000000,8.20E+23,5.38243E+13,397.098,1.62281E+13,4.92E+22,1323.55,-10520,8054.24,4.604,-0.2959,28.141
C12,5/21/2013 0:10,11745,1486.16,30408000000,2.14E+23,3.88955E+13,88.498,1.27661E+12,3.33E+22,914.195,-5562.6,2635.59,2.978,-0.347,12.227
C47,5/19/2013 0:10,11750,865.266,12399000000,1.22E+23,2.02964E+13,13.419,2.27925E+12,1.39E+22,313.854,-2455.4,3700.26,3.811,-0.3756,21.369
C40,5/20/2013 0:10,11750,1418.94,21216000000,2.34E+23,2.66893E+13,81.581,3.00801E+12,2.43E+22,609.173,-4862.1,4987.56,4.144,-0.4347,18.259
C13,5/18/2013 0:10,11752,226.576,2989300000,1.70E+22,5.08633E+12,61.302,3.33832E+12,3.08E+21,102.639,-581.75,2359.6,2.996,-0.3692,13.962
C13,5/23/2013 0:10,11755,2622.37,56046000000,4.53E+23,5.97232E+13,365.139,1.61575E+13,4.63E+22,1366.14,-7153.5,4314.93,4.347,-0.2421,16.89
C16,5/25/2013 0:10,11755,1843.74,37482000000,3.05E+23,4.47298E+13,93.656,4.61151E+12,2.59E+22,1559.27,-1079.6,4666.5,3.491,-0.0546,28.013
C29,5/21/2013 0:10,11756,1001.06,25821000000,7.98E+22,2.14808E+13,14.538,3.9029E+12,1.76E+22,488.772,-3240.8,2082.88,3.747,-0.2381,7.779
C24,5/22/2013 0:10,11756,1909.26,34056000000,2.48E+23,3.90136E+13,230.159,5.92647E+12,2.83E+22,924.668,-3984.6,4105.09,4.208,-0.2219,19.694
C34,5/23/2013 0:10,11756,2732.46,41006000000,4.65E+23,5.71398E+13,519.27,1.15657E+13,3.23E+22,1392.95,-3045.3,6515.79,4.683,-0.1409,31.382
C21,5/24/2013 0:10,11756,2933,42282000000,5.49E+23,6.06205E+13,800.054,2.32211E+13,3.16E+22,1531.74,-1677,7462.01,4.568,-0.0752,37.19
C19,6/10/2013 0:10,11765,839.571,12453000000,1.27E+23,1.97396E+13,48.598,3.38147E+12,1.19E+22,468.037,-1710.7,4790.32,3.459,-0.2606,30.718
C15,6/19/2013 0:10,11773,913.378,12084000000,1.19E+23,2.24885E+13,8.736,1.16474E+12,1.21E+22,619.709,-1354.5,3902.06,3.507,-0.2126,31.678
C15,6/22/2013 0:10,11773,534.143,7196900000,4.13E+22,1.36988E+13,49.967,2.78041E+12,6.42E+21,605.603,-524.62,2449.86,3.199,-0.1383,19.523
C10,6/17/2013 0:10,11775,4664.71,84220000000,8.16E+23,9.61172E+13,192.203,1.00656E+13,7.22E+22,2115.45,-11167,5360.04,4.655,-0.2515,20.265
C22,6/18/2013 0:10,11775,4629.49,77032000000,8.93E+23,1.00098E+14,130.778,4.45894E+12,6.53E+22,2388.56,-6618.4,6002.08,4.617,-0.163,26.281
C35,6/19/2013 0:10,11775,4281.35,67987000000,8.34E+23,9.57698E+13,159.449,5.16227E+12,5.60E+22,2624.2,-3614.3,6302.36,4.613,-0.1008,28.577
C14,6/20/2013 0:10,11775,3921.41,63533000000,7.94E+23,8.81276E+13,222.369,1.14931E+13,4.80E+22,2538.71,-1855.9,6956.37,4.585,-0.0554,30.537
C30,6/24/2013 0:10,11775,3654.37,72018000000,5.49E+23,8.21929E+13,35.475,5.99855E+12,7.18E+22,1758.81,-11976,3458.27,4.222,-0.3154,14.539
C10,6/19/2013 0:10,11776,281.818,3482500000,3.42E+22,5.81479E+12,134.517,3.88629E+12,2.12E+21,115.978,232.79,5663.19,3.75,0.1268,45.995
C10,6/21/2013 0:10,11776,996.058,14087000000,2.10E+23,2.23334E+13,37.686,1.50042E+12,1.02E+22,414.054,-809.07,8492.4,4.218,-0.1089,50.98
C20,6/30/2013 0:10,11780,175.55,4096000000,1.69E+22,4.49341E+12,33.89,2.02258E+12,1.77E+21,63.6814,-124.22,3584.85,3.159,-0.0575,33.53
C11,6/29/2013 0:10,11781,232.175,3496000000,1.97E+22,4.78929E+12,12.009,4.14192E+11,2.40E+21,137.962,33.001,3315.59,1.964,0.0179,30.625
C11,7/6/2013 0:10,11784,811.434,10095000000,1.01E+23,1.82954E+13,65.678,1.22999E+12,9.57E+21,465.984,-1181,4550.76,3.63,-0.2219,31.118
C39,7/4/2013 0:10,11785,5620.78,93377000000,1.17E+24,1.07725E+14,830.9,2.51252E+13,8.27E+22,2211.96,-13659,7252.76,4.905,-0.2775,24.856
C35,7/5/2013 0:10,11785,6134.61,92389000000,1.32E+24,1.24667E+14,599.065,1.84669E+13,8.25E+22,2730.73,-10626,7749.61,5.064,-0.2182,30.311
C10,7/6/2013 0:10,11785,5489.96,81267000000,1.27E+24,1.19762E+14,930.571,4.65586E+13,6.96E+22,2791.25,-6229.4,8200.16,5.11,-0.1454,34.678
C17,7/7/2013 0:10,11785,4755.75,68116000000,1.06E+24,1.07897E+14,409.249,1.46981E+13,5.65E+22,2806.31,-3823.8,7720.94,4.898,-0.1065,39.933
C23,7/9/2013 0:10,11785,4553.1,61924000000,9.20E+23,1.03411E+14,188.818,1.42952E+13,5.03E+22,2875.85,-3224.5,7423.06,4.625,-0.0988,41.788
C10,7/11/2013 0:10,11785,4116.99,54736000000,5.62E+23,9.61872E+13,48.595,9.00895E+12,5.81E+22,2415.16,-7821.8,4193.42,4.488,-0.2711,23.395
C14,7/13/2013 0:10,11791,692.084,13377000000,9.32E+22,1.56357E+13,57.824,4.27218E+12,1.04E+22,270.173,-2081.9,4133.58,3.812,-0.2952,17.36
C10,7/15/2013 0:10,11791,886.724,12402000000,1.47E+23,1.90699E+13,241.733,1.15486E+13,9.32E+21,454.807,-591,6428.32,4.121,-0.0904,33.882
C19,7/16/2013 0:10,11791,899.638,11648000000,1.42E+23,2.04574E+13,278.831,1.10364E+13,8.63E+21,492.337,-300.43,6076.21,3.979,-0.0489,41.436
C11,7/17/2013 0:10,11791,752.026,9588400000,9.51E+22,1.63163E+13,175.009,7.60527E+12,7.62E+21,494.926,-306.87,4885.93,3.746,-0.0607,34.739
C21,7/20/2013 0:10,11793,1398.12,23903000000,3.60E+23,3.35864E+13,7.516,4.56853E+12,1.81E+22,951.552,-1092.4,7890.67,3.512,-0.0867,42.663
C31,7/21/2013 0:10,11800,1481.87,28537000000,1.52E+23,3.44905E+13,155.39,2.18623E+12,2.64E+22,694.086,-4986.6,2487.01,4.138,-0.3315,10.67
C10,7/24/2013 0:10,11800,1383.2,20161000000,1.76E+23,3.28415E+13,199.778,7.03937E+12,1.45E+22,1050.14,-476.5,4548.08,4.224,-0.0448,30.875
C21,7/25/2013 0:10,11800,1216.52,20510000000,1.67E+23,2.9138E+13,11.23,2.62855E+12,1.47E+22,1060.78,-846.48,4605.03,3.819,-0.0783,28.669
C10,7/27/2013 0:10,11800,1972.8,31332000000,3.13E+23,4.55268E+13,67.417,5.90738E+12,2.57E+22,982.166,-2673.5,5138.13,4.331,-0.1619,26.078
C16,7/28/2013 0:10,11800,2552.11,42388000000,4.16E+23,5.59079E+13,38.613,4.06583E+12,3.80E+22,1123.3,-6841.7,4834.93,4.452,-0.3062,23.343
C11,7/30/2013 0:10,11801,224.519,7686600000,1.15E+23,5.95038E+12,19.293,2.12652E+12,4.01E+21,244.718,120.53,12409.6,2.126,0.0297,51.979
C13,8/21/2013 0:10,11820,1699.03,27147000000,2.26E+23,3.79928E+13,64.675,2.67626E+12,2.20E+22,1020.09,-2244.6,4578.32,4.311,-0.1568,22.791
C15,8/22/2013 0:10,11820,1698.97,30284000000,2.18E+23,3.93272E+13,53.972,5.11306E+12,2.73E+22,867.568,-4307.6,3473.44,4.006,-0.2698,18.694
C11,8/23/2013 0:10,11827,563.315,8327100000,5.43E+22,1.29792E+13,44.62,1.70832E+12,7.82E+21,371.015,-961.22,2965.44,3.248,-0.219,18.801
C22,8/21/2013 0:10,11828,936.796,16024000000,9.68E+22,2.22032E+13,42.938,2.52823E+12,2.07E+22,373.372,-4003.4,2017.46,3.594,-0.4739,8.461
C14,8/22/2013 0:10,11828,784.61,12175000000,8.04E+22,1.96085E+13,60.89,3.97224E+12,1.55E+22,494.505,-2340.5,2168.82,3.114,-0.3647,9.94
C17,9/1/2013 0:10,11834,796.624,9435600000,5.84E+22,2.09946E+13,24.435,3.49089E+12,9.11E+21,683.222,-738.39,2374.73,3.084,-0.1484,21.924
C13,9/3/2013 0:10,11834,1448.27,20074000000,1.38E+23,3.65189E+13,74.692,1.94044E+12,2.73E+22,809.698,-4626.3,2088.64,3.861,-0.4371,13.209
C83,8/30/2013 0:10,11836,1158.97,28675000000,2.11E+23,2.99397E+13,48.475,3.10501E+12,2.59E+22,679.034,-3607.6,3358.98,3.205,-0.2387,12.785
C26,8/31/2013 0:10,11836,1289.22,25920000000,2.24E+23,3.2827E+13,91.581,4.7092E+12,2.22E+22,908.793,-1822.9,4100.06,3.312,-0.1334,19.745
C13,9/4/2013 0:10,11836,909.443,19670000000,1.79E+23,2.48239E+13,23.159,2.722E+12,1.25E+22,911.455,-148.34,5609.75,3.323,-0.0143,30.767
C15,9/5/2013 0:10,11836,1256.56,22804000000,1.80E+23,3.39391E+13,83.49,7.93263E+12,1.89E+22,916.152,-1806.8,3690.21,3.752,-0.1503,22.658
C26,9/4/2013 0:10,11837,879.114,13274000000,1.53E+23,2.03506E+13,22.091,4.05193E+12,1.07E+22,412.699,-1376.2,6350.62,4.177,-0.1967,38.59
C14,9/5/2013 0:10,11837,1032.78,16854000000,1.67E+23,2.24978E+13,17.513,2.39427E+12,1.66E+22,492.364,-2954.5,4555.5,3.601,-0.3325,24.044
C11,9/24/2013 0:10,11846,761.056,21473000000,3.34E+23,1.8874E+13,68.43,2.9506E+12,1.17E+22,539.363,286.76,12328,3.282,0.0253,46.069
C17,9/29/2013 0:10,11850,1566.89,26066000000,1.65E+23,4.44293E+13,49.615,4.83277E+12,2.86E+22,1095.77,-3009.4,2146.38,3.589,-0.219,13.346
C25,10/4/2013 0:10,11856,999.103,16867000000,1.25E+23,2.24281E+13,14.369,2.98903E+12,2.17E+22,454.783,-4038.8,2587.87,3.792,-0.4542,10.176
C23,10/7/2013 0:10,11856,566.788,6950300000,4.67E+22,1.48634E+13,12.805,2.86656E+12,6.96E+21,611.774,-576.25,2413.98,3.133,-0.1573,19.18
C13,10/10/2013 0:10,11861,1419.96,20810000000,1.75E+23,3.20183E+13,84.586,6.84617E+12,1.84E+22,667.607,-2001.7,3906.61,4.229,-0.1825,18.293
C63,10/11/2013 0:10,11861,2505.85,32164000000,5.03E+23,5.15959E+13,299.605,1.56433E+13,2.29E+22,1012.36,-824.81,9272.92,4.663,-0.0486,38.389
C29,10/12/2013 0:10,11861,2289.65,37356000000,7.03E+23,4.95065E+13,173.76,1.0304E+13,2.30E+22,1182.58,522.3,13200.6,4.664,0.0265,50.622
C45,10/13/2013 0:10,11861,1543.03,33985000000,6.03E+23,3.76448E+13,141.327,3.47022E+12,2.01E+22,999.306,94.14,12571,4.119,0.0053,55.57
C74,10/14/2013 0:10,11861,1356.76,34520000000,6.01E+23,3.29888E+13,44.428,7.02001E+12,2.02E+22,908.042,-350.65,13283,3.933,-0.0193,52.864
C18,10/15/2013 0:10,11861,1668.67,39310000000,6.81E+23,3.83087E+13,90.153,1.19049E+13,2.41E+22,906.755,-1162.5,12653.2,4.182,-0.0561,50.089
C48,10/17/2013 0:10,11861,2438.6,47881000000,6.02E+23,5.10063E+13,133.42,5.28399E+12,3.80E+22,1089.52,-7014.9,7219.63,4.449,-0.2779,32.186
C17,10/20/2013 0:10,11873,687.204,10603000000,4.41E+22,1.75951E+13,27.203,3.09438E+12,8.45E+21,529.065,-14.139,1940.11,2.666,-0.0025,15.724
C11,11/8/2013 0:10,11887,826.264,11859000000,9.88E+22,1.95809E+13,76.474,3.10726E+12,1.34E+22,433.701,-2256.4,3324.21,3.717,-0.3609,17.999
C16,11/5/2013 0:10,11889,694.723,9384400000,1.11E+23,1.55439E+13,28.522,1.57913E+12,7.32E+21,364.76,-574.04,6044.79,3.36,-0.116,41.248
C30,11/6/2013 0:10,11889,705.524,10065000000,1.05E+23,1.63833E+13,8.787,2.5708E+12,8.58E+21,417.028,-964.09,5117.86,3.558,-0.1817,34.655
C30,11/14/2013 0:10,11897,4360.98,69813000000,7.84E+23,1.00801E+14,506.809,1.89213E+13,6.83E+22,2462.27,-9059.3,5133.34,4.769,-0.2461,26.767
C75,11/15/2013 0:10,11897,3672.28,52633000000,5.49E+23,8.83702E+13,455.642,2.48574E+13,5.26E+22,2395.02,-5763.8,4288.63,4.45,-0.2077,26.647
C86,11/16/2013 0:10,11897,3731.06,45347000000,4.62E+23,8.62181E+13,570.873,2.42133E+13,4.35E+22,2472.98,-4044.9,4189.62,4.413,-0.1692,27.265
C15,11/17/2013 0:10,11897,3544.62,42039000000,3.81E+23,8.32565E+13,116.896,7.01077E+12,4.00E+22,2467.43,-3760.5,3757.18,4.369,-0.1697,26.594
C28,11/18/2013 0:10,11897,3090.65,38441000000,2.93E+23,7.51421E+13,87.334,8.29403E+12,3.83E+22,2319.76,-4078.9,3043.02,3.895,-0.2013,22.695
C18,11/19/2013 0:10,11897,2684.41,37332000000,2.31E+23,6.36493E+13,48.326,5.50517E+12,4.03E+22,1987.08,-5023.1,2504.56,3.689,-0.2552,12.656
C18,11/21/2013 0:10,11897,2111.01,42739000000,1.68E+23,5.09239E+13,125.66,7.49634E+12,5.16E+22,1009.8,-10173,1449.3,3.577,-0.4515,3.662
C10,11/28/2013 0:10,11907,1447.23,24502000000,2.36E+23,3.52057E+13,157.227,7.02222E+12,1.73E+22,1113.41,175.81,5028.34,4.011,0.0136,33.741
C10,11/28/2013 0:10,11908,1087.13,17705000000,2.23E+23,2.148E+13,183.002,7.86528E+12,1.27E+22,350.707,-1818.6,8562.01,4.171,-0.1948,33.1
C46,12/12/2013 0:10,11912,643.221,17953000000,1.35E+23,1.5816E+13,51.695,3.40546E+12,1.24E+22,454.953,-1439.4,4823.15,3.499,-0.1521,18.297
C19,12/5/2013 0:10,11916,697.008,11776000000,3.78E+22,1.76563E+13,17.934,3.69601E+12,8.50E+21,761.286,-116.18,1663.83,3.169,-0.0187,12.255
C33,12/7/2013 0:10,11916,1847.44,26461000000,3.25E+23,4.34286E+13,56.313,4.40011E+12,1.90E+22,1144.62,-818.15,6344.91,4.129,-0.0586,41.058
C27,12/11/2013 0:10,11917,3219.75,62168000000,5.77E+23,7.81604E+13,181.819,8.96802E+12,4.93E+22,1757.17,-5429.9,5032.9,4.442,-0.1657,22.772
C23,12/12/2013 0:10,11917,2845.97,52760000000,5.75E+23,7.22177E+13,105.77,9.69289E+12,4.01E+22,2004.62,-1739.2,5662.24,4.417,-0.0625,29.464
C23,12/14/2013 0:10,11917,3081.72,51262000000,6.55E+23,7.42969E+13,211.548,1.15365E+13,3.52E+22,2261.99,184.14,6970.64,4.329,0.0068,39.368
C19,12/16/2013 0:10,11917,3866.61,66452000000,7.56E+23,9.0302E+13,380.73,1.63025E+13,5.22E+22,2373.28,-4115.3,6263.97,4.527,-0.1175,30.084
C19,12/17/2013 0:10,11917,3620.87,69522000000,6.51E+23,8.49535E+13,229.59,1.2573E+13,6.08E+22,2013.28,-8211.7,4872.74,4.259,-0.2241,20.948
C15,12/18/2013 0:10,11917,3351.01,72154000000,5.44E+23,7.43248E+13,287.134,1.54552E+13,6.44E+22,1496.47,-12380,3973.14,4.225,-0.3255,15.198
C59,12/12/2013 0:10,11921,2587.83,73554000000,8.01E+23,5.88075E+13,0.053,3.43767E+12,4.55E+22,1235.15,-7875.7,8368.2,4.21,-0.2031,27.823
C18,12/19/2013 0:10,11930,755.831,10107000000,1.01E+23,1.61588E+13,70.958,2.69825E+12,7.61E+21,298.169,-600.69,5901.62,3.966,-0.1127,33.836
C22,12/26/2013 0:10,11931,1948.61,40845000000,5.38E+23,4.75067E+13,21.06,3.96583E+12,2.67E+22,1876.4,-445.32,8267.88,3.617,-0.0207,38.309
C40,1/3/2014 0:10,11937,625.855,14878000000,3.68E+22,1.51865E+13,30.461,3.63349E+12,7.77E+21,687.796,651.53,1953.56,2.597,0.0831,10.164
C18,1/13/2014 0:10,11952,567.414,18562000000,1.61E+23,1.16689E+13,95.87,5.74165E+12,1.30E+22,287.299,-2805.2,6106.38,3.846,-0.2867,26.892
C13,1/22/2014 0:10,11955,827.079,24652000000,7.75E+22,1.8447E+13,14.556,8.95366E+12,1.04E+22,1245.75,989.39,3359.63,2.915,0.0761,13.939
C24,2/9/2014 0:10,11975,1020.57,13040000000,1.19E+23,2.27788E+13,67.963,5.70346E+12,1.02E+22,486.028,-1220.6,5235.02,4.352,-0.1776,30.672
C19,2/18/2014 0:10,11976,1058.63,23860000000,3.44E+23,2.24683E+13,170.393,1.98568E+12,1.77E+22,745.308,-2260.6,9256.72,3.315,-0.1797,34.149
C12,2/19/2014 0:10,11976,1358.95,26099000000,3.20E+23,2.68294E+13,228.836,3.78982E+12,2.25E+22,687.681,-3892.6,6880.39,3.827,-0.2829,24.254
C25,3/2/2014 0:10,11987,2704.94,61473000000,3.27E+23,5.7218E+13,290.088,1.22296E+13,3.38E+22,2430.29,-442.41,4545.32,4.193,-0.0137,18.41
C17,3/13/2014 0:10,12003,1201.95,19807000000,2.48E+23,2.43848E+13,183.972,7.96217E+12,1.61E+22,601.195,-2321.3,7476.92,4.172,-0.2223,36.667
C47,3/14/2014 0:10,12003,1239.51,22440000000,2.43E+23,2.40803E+13,93.539,4.68832E+12,2.08E+22,552.188,-3712.4,5940.85,4.099,-0.3138,24.125
C42,3/19/2014 0:10,12004,990.611,20195000000,1.09E+23,2.08094E+13,55.338,1.8237E+12,1.77E+22,634.437,-3456.7,2829.23,3.448,-0.3247,10.903
C22,3/16/2014 0:10,12005,1432.74,36237000000,4.81E+23,3.04741E+13,144.036,4.32928E+12,2.83E+22,836.16,-4358.8,8675.27,3.644,-0.2282,21.586
C22,3/19/2014 0:10,12010,1927.01,41230000000,1.78E+23,3.74534E+13,413.183,2.03237E+13,2.56E+22,1206.35,-5269.5,3453.12,4.328,-0.2424,10.949
C11,3/25/2014 0:10,12010,2249.21,45889000000,3.50E+23,4.53354E+13,325.53,1.84267E+13,3.26E+22,1364.02,-5905.1,4939.64,4.383,-0.2441,20.556
C12,3/26/2014 0:10,12010,1749.44,45594000000,2.19E+23,3.56264E+13,51.476,3.79966E+12,2.91E+22,1035.53,-8387.7,3574.12,4.076,-0.349,15.361
C27,3/21/2014 0:10,12013,796.614,18157000000,7.86E+22,1.69672E+13,108.489,3.40015E+12,1.41E+22,474.103,-3356.2,2628.89,3.523,-0.3506,7.91
C83,4/4/2014 0:10,12021,1434.43,23347000000,3.65E+23,2.99429E+13,121.331,6.02683E+12,1.73E+22,784.731,-1407,9680.88,4.22,-0.1143,46.45
C12,4/2/2014 0:10,12026,2276.14,37187000000,3.41E+23,4.13272E+13,242.069,5.37351E+12,3.46E+22,1019.67,-7294.8,5200.99,4.504,-0.3721,18.643
C10,4/3/2014 0:10,12026,2166.35,34165000000,3.63E+23,4.31479E+13,160.132,5.15306E+12,2.93E+22,1210.37,-4907.6,6402.92,4.456,-0.2725,27.074
C36,4/4/2014 0:10,12026,2058.28,32877000000,4.31E+23,4.30798E+13,58.34,3.89767E+12,2.49E+22,1300.26,-2678.5,8506.01,4.321,-0.1545,37.866
C17,4/7/2014 0:10,12026,1004.32,15296000000,1.22E+23,2.30902E+13,36.693,1.06318E+13,1.24E+22,1255.55,-1487.1,4187.4,3.368,-0.1844,22.507
C45,4/16/2014 0:10,12034,897.464,18264000000,2.96E+23,1.93638E+13,42.748,2.37313E+12,1.11E+22,777.277,-659.18,12280.6,3.103,-0.0685,46.348
C13,4/19/2014 0:10,12034,1598.96,30939000000,4.46E+23,3.35302E+13,52.686,5.62303E+11,2.67E+22,1068.04,-3946.6,8059.82,3.841,-0.242,36.596
C10,4/13/2014 0:10,12036,334.797,9769100000,2.34E+22,7.027E+12,62.046,2.67628E+12,5.21E+21,241.227,-632.52,2129.68,3.468,-0.1228,4.603
C10,4/14/2014 0:10,12036,942.576,12783000000,9.58E+22,1.71484E+13,37.278,1.76399E+12,7.82E+21,467.842,-215.93,5727.22,4.194,-0.032,25.375
C15,4/15/2014 0:10,12036,2071.38,26975000000,4.51E+23,3.5597E+13,216.001,2.02869E+12,1.57E+22,849.339,175.06,13962.2,4.673,0.0123,50.828
C32,4/17/2014 0:10,12036,2604.99,41274000000,7.11E+23,5.58958E+13,148.736,8.98127E+12,2.80E+22,1474.62,-1625,11099.3,4.441,-0.0747,52.9
C48,4/18/2014 0:10,12036,2330.82,38171000000,5.67E+23,4.96699E+13,132.412,6.52232E+12,2.86E+22,1370.25,-3063.9,8986.07,4.296,-0.1523,44.807
C17,4/19/2014 0:10,12044,256.706,7310500000,1.62E+22,4.89006E+12,6.941,5.14847E+11,5.06E+21,73.724,-1933.4,1666,2.667,-0.5017,3.564
C14,5/2/2014 0:10,12047,2186.82,30333000000,4.40E+23,4.42766E+13,407.606,1.32372E+13,1.92E+22,957.641,-1242.3,10357.9,4.375,-0.0777,48.827
C18,5/3/2014 0:10,12047,3033.4,48785000000,7.81E+23,5.83295E+13,482.38,8.83228E+12,3.23E+22,1321.16,-3112.8,11821.9,4.573,-0.121,49.386
C34,4/28/2014 0:10,12048,430.972,5499400000,4.87E+22,8.26127E+12,135.435,7.25113E+12,5.10E+21,176.937,-893.54,4879.82,2.786,-0.3082,21.097
C15,4/30/2014 0:10,12049,1412.42,34693000000,5.64E+23,2.87787E+13,255.078,1.32311E+13,2.39E+22,809.013,-3232.7,12566.5,4.386,-0.1767,44.666
C17,5/3/2014 0:10,12049,1013.57,25779000000,5.02E+23,2.34851E+13,23.274,2.11091E+12,1.52E+22,796.956,-90.71,15395.2,3.879,-0.0067,61.347
C13,5/4/2014 0:10,12049,1014.69,22892000000,4.27E+23,2.48793E+13,8.115,1.24389E+12,1.41E+22,812.594,-227.91,13664.2,3.818,-0.0189,57.851
C21,5/2/2014 0:10,12052,120.615,7384700000,6.48E+21,2.1709E+12,23.575,1.17204E+12,1.71E+21,33.5168,-1516.9,2118.72,1.954,-0.3896,6.386
C11,5/4/2014 0:10,12053,176.494,3479200000,9.91E+21,3.40842E+12,16.009,6.01432E+11,2.81E+21,68.1839,-670,1824.94,2.798,-0.3653,2.789
C19,5/5/2014 0:10,12053,421.875,5206000000,3.99E+22,8.76457E+12,12.898,1.68359E+12,4.88E+21,179.025,-794.04,3834.3,3.298,-0.2893,20.235
C11,5/12/2014 0:10,12060,2633.57,43175000000,2.95E+23,5.75043E+13,202.459,1.08294E+13,3.71E+22,1901.27,-5300.7,3560.7,4.442,-0.2329,15.612
C16,5/14/2014 0:10,12060,1939.52,36597000000,3.28E+23,4.15522E+13,38.107,6.07752E+12,2.19E+22,2196.73,-977.46,6548.62,4.02,-0.0507,31.137
C10,5/15/2014 0:10,12060,1665.42,34128000000,2.74E+23,3.65608E+13,77.306,1.14274E+13,1.95E+22,2102.57,-1090.6,6133.85,3.555,-0.0606,29.498
C83,5/14/2014 0:10,12063,850.876,12591000000,1.43E+23,1.42995E+13,17.433,4.59188E+11,9.14E+21,309.532,-1930.8,9139.78,4.329,-0.2909,26.181
C32,5/15/2014 0:10,12063,982.575,16326000000,2.21E+23,1.79861E+13,95.555,4.79581E+12,1.22E+22,405.336,-1872.8,9862.06,4.277,-0.2176,38.615
C25,5/16/2014 0:10,12063,791.697,12476000000,1.58E+23,1.56975E+13,47.155,2.16685E+12,9.94E+21,397.869,-1269,7916,3.82,-0.1929,39.839
C38,5/18/2014 0:10,12063,358.509,5201700000,3.88E+22,7.44988E+12,32.093,2.14006E+12,3.65E+21,363.679,-302.28,4744.47,3.632,-0.1102,25.65
C15,5/23/2014 0:10,12065,1068.57,17787000000,7.53E+22,2.36677E+13,4.505,5.3256E+12,1.39E+22,820.518,-2005.4,2417.33,3.789,-0.2139,13.438
C10,5/24/2014 0:10,12065,1751.14,26773000000,1.53E+23,3.68017E+13,110.352,1.1433E+13,2.41E+22,924.69,-4784.9,2971.85,4.144,-0.339,13.656
C34,5/17/2014 0:10,12066,347.04,3958600000,3.07E+22,6.89042E+12,85.167,4.78176E+12,2.21E+21,166.58,81.674,5211.41,3.505,0.0391,41.757
C16,5/21/2014 0:10,12066,324.625,7380100000,4.77E+22,6.74415E+12,10.87,3.22918E+12,5.16E+21,117.317,-1324.7,4470.52,3.377,-0.3405,21.341
