FlareClass,Flare Date,AR,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C10,1/10/2012 0:10,11393,2338.81,61197000000,9.38E+23,4.8508E+13,133.203,2.25014E+12,4.06E+22,1272.1,-7122.9,11733.9,4.394,-0.2208,40.214
C26,1/9/2012 0:10,11395,584.982,19585000000,1.49E+23,1.30685E+13,39.208,2.67911E+12,1.29E+22,263.994,-3571.3,5226.34,3.608,-0.3459,24.54
C16,1/11/2012 0:10,11395,719.485,15299000000,1.31E+23,1.98321E+13,35.071,8.30161E+11,1.27E+22,374.577,-1746.8,4021.82,3.446,-0.2166,23.355
C15,1/12/2012 0:10,11395,588.417,11831000000,9.78E+22,1.57932E+13,61.661,1.63726E+12,9.32E+21,391.155,-673.37,4107.03,3.196,-0.108,24.499
C21,1/14/2012 0:10,11396,877.491,11930000000,1.38E+23,2.03667E+13,158.832,6.67321E+12,1.03E+22,394.869,-941.64,5381.45,4.262,-0.1497,33.171
C32,1/19/2012 0:10,11396,444.37,7628200000,3.41E+22,1.13272E+13,129.881,7.53497E+12,7.31E+21,166.992,-1475.4,1921.75,3.336,-0.3669,11.48
C29,2/8/2012 0:10,11415,494.455,7242800000,4.16E+22,1.22081E+13,29.167,1.09878E+11,8.52E+21,249.88,-1409.3,2041.49,3.591,-0.3691,9.985
C10,2/19/2012 0:10,11422,284.192,4536600000,3.18E+22,7.02889E+12,5.675,1.39326E+12,2.30E+21,112.519,340.99,4764.4,3.348,0.1426,42.454
C34,3/1/2012 0:10,11423,475.892,10564000000,1.42E+23,1.22477E+13,55.308,1.96307E+12,6.56E+21,316.731,-88.379,8707.08,3.36,-0.0159,40.906
C13,3/3/2012 0:10,11427,774.608,9164600000,5.12E+22,1.97797E+13,232.137,9.88278E+12,8.46E+21,606.982,-456.73,2131.75,3.548,-0.0945,18.05
C32,3/4/2012 0:10,11427,749.699,10757000000,4.92E+22,1.86785E+13,196.34,8.12824E+12,1.09E+22,545.753,-1020.6,1699.94,3.474,-0.18,9.641
C72,3/8/2012 0:10,11428,940.862,15319000000,2.47E+23,2.46808E+13,121.099,6.68512E+12,1.15E+22,587.245,-517.92,8309.46,3.75,-0.0641,51.24
C19,3/10/2012 0:10,11428,1075.12,12918000000,1.35E+23,2.54599E+13,88.179,7.76778E+12,1.34E+22,621.189,-1778.4,3995.95,4.009,-0.2611,32.554
C12,3/21/2012 0:10,11440,181.387,2590000000,1.38E+22,4.34185E+12,29.055,1.42703E+12,1.72E+21,105.721,113.24,3007.24,2.946,0.0829,23.693
C12,4/4/2012 0:10,11450,773.96,9764200000,8.90E+22,1.91715E+13,32.612,3.3136E+12,8.61E+21,466.145,-877.81,4057.47,3.393,-0.1705,31.197
C15,4/5/2012 0:10,11450,1057.03,14940000000,1.91E+23,2.6478E+13,30.45,2.19392E+12,1.26E+22,539.935,-1190.3,5618.07,3.959,-0.1511,41.218
C52,4/18/2012 0:10,11459,2105.2,45959000000,3.48E+23,4.72986E+13,257.745,1.38952E+13,3.25E+22,1132.26,-3947.6,4907.58,4.306,-0.1629,24.841
C18,4/21/2012 0:10,11459,2489.34,35394000000,3.73E+23,5.98399E+13,88.476,5.27799E+12,2.56E+22,1688.08,-104.59,5739.89,4.304,-0.0056,37.943
C17,4/22/2012 0:10,11459,2804.54,42136000000,5.40E+23,6.98867E+13,36.85,9.80065E+12,3.16E+22,1864.76,-945.43,6631.34,4.46,-0.0426,40.426
