Flare Class,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
B,191.66,2753200000,1.59643e+22,3697490000000,14.317,1201620000000,1.85299e+21,196.69,-89.528,3684.01,3.219,-0.0617,23.996
B,453.274,4039000000,2.45458e+22,9979400000000,140.312,6265800000000,4.27975e+21,159.167,-742.79,2668.6,3.011,-0.3488,10.699
B,330.547,4944100000,6.01896e+22,6738150000000,83.429,1788770000000,3.83148e+21,195.097,-389.43,7298.23,3.302,-0.1494,41.723
B,26.477,1021300000,7.49059e+20,368450000000,12.193,275278000000,1.86234e+20,9.81402,-9.2336,2420.74,2.946,-0.0172,5.15
B,487.186,3863200000,4.79623e+22,10282700000000,50.024,1761570000000,3.33132e+21,113.35,-438.15,6530.75,3.926,-0.2151,30.796
C,643.221,17953000000,1.35095e+23,15816000000000,51.695,3405460000000,1.23808e+22,454.953,-1439.4,4823.15,3.499,-0.1521,18.297
C,3682.7,78366000000,1.17605e+24,75981200000000,564.05,28277100000000,5.18537e+22,2855.27,-4282.9,10551.8,4.562,-0.1037,38.207
C,1665.42,34128000000,2.73674e+23,36560800000000,77.306,11427400000000,1.95297e+22,2102.57,-1090.6,6133.85,3.555,-0.0606,29.498
C,774.608,9164600000,5.1211e+22,19779700000000,232.137,9882780000000,8.46056e+21,606.982,-456.73,2131.75,3.548,-0.0945,18.05
C,1566.5,26218000000,9.93526e+22,39840900000000,29.958,2201790000000,2.05991e+22,1203.5,-1149.3,1932.31,2.897,-0.0832,12.494
C,1923.94,37780000000,2.04559e+23,40300600000000,43.793,3412340000000,3.31746e+22,903.346,-7848.0,3044.98,3.977,-0.394,11.602
C,942.576,12783000000,9.57672e+22,17148400000000,37.278,1763990000000,7.81806e+21,467.842,-215.93,5727.22,4.194,-0.032,25.375
C,604.523,9957700000,5.96719e+22,14829700000000,110.621,4870730000000,6.90417e+21,219.378,-375.82,3339.69,3.716,-0.0716,19.897
C,756.752,10217000000,9.27445e+22,14622500000000,63.152,2994900000000,6.77002e+21,453.705,-432.13,6340.61,3.852,-0.0802,29.217
C,567.414,18562000000,1.60699e+23,11668900000000,95.87,5741650000000,1.29885e+22,287.299,-2805.2,6106.38,3.846,-0.2867,26.892
C,401.217,15755000000,5.09488e+22,7343530000000,29.594,1172830000000,8.79981e+21,169.025,-3271.6,2982.96,3.114,-0.3939,10.536
C,1238.03,32659000000,4.51152e+23,25418300000000,202.564,4385800000000,2.07536e+22,993.643,-2356.4,10886.8,3.526,-0.1369,30.768
C,1507.8,18022000000,1.41962e+23,30613500000000,90.531,3738450000000,1.53107e+22,975.532,-2051.8,4289.9,4.038,-0.216,21.623
C,683.767,13552000000,7.33367e+22,15202100000000,18.404,1588860000000,1.08554e+22,239.471,-1461.9,3019.72,4.003,-0.2046,13.556
C,1598.96,30939000000,4.45803e+23,33530200000000,52.686,562303000000,2.67284e+22,1068.04,-3946.6,8059.82,3.841,-0.242,36.596
C,409.589,6134600000,2.51789e+22,8244290000000,9.094,2841820000000,4.39819e+21,415.925,-494.85,2798.85,2.552,-0.153,9.876
C,317.244,5605300000,2.77279e+22,6323600000000,41.928,1104850000000,4.64121e+21,111.148,-1043.2,2804.77,3.528,-0.353,13.958
C,2552.11,42388000000,4.16068e+23,55907900000000,38.613,4065830000000,3.80373e+22,1123.3,-6841.7,4834.93,4.452,-0.3062,23.343
C,289.006,4880700000,1.65686e+22,6154040000000,20.07,2566410000000,3.37372e+21,353.567,-208.08,2243.47,2.896,-0.0809,8.326
C,1873.99,36514000000,2.39323e+23,43483300000000,74.367,5295490000000,2.96516e+22,1546.47,-4762.6,3609.63,3.671,-0.2474,16.159
C,2392.56,49349000000,9.86412e+23,45570200000000,99.534,5502570000000,2.90934e+22,1411.73,-1446.0,16796.1,4.024,-0.0556,60.043
C,877.491,11930000000,1.38126e+23,20366700000000,158.832,6673210000000,1.02947e+22,394.869,-941.64,5381.45,4.262,-0.1497,33.171
C,1447.23,24502000000,2.35835e+23,35205700000000,157.227,7022220000000,1.72683e+22,1113.41,175.81,5028.34,4.011,0.0136,33.741
C,850.745,16003000000,8.70788e+22,19435800000000,1.338,1621490000000,1.93449e+22,373.507,-3804.2,2020.62,3.336,-0.4509,5.988
C,565.104,8150600000,5.43779e+22,11161500000000,92.276,4086560000000,8.17747e+21,314.428,-1588.4,3418.71,3.706,-0.3697,12.157
C,913.378,12084000000,1.19303e+23,22488500000000,8.736,1164740000000,1.20993e+22,619.709,-1354.5,3902.06,3.507,-0.2126,31.678
C,996.058,14087000000,2.10081e+23,22333400000000,37.686,1500420000000,1.02349e+22,414.054,-809.07,8492.4,4.218,-0.1089,50.98
C,990.419,12819000000,2.07752e+23,19290500000000,519.629,24309900000000,8.36728e+21,345.62,167.87,10517.3,4.268,0.0248,52.83
C,175.55,4096000000,1.69105e+22,4493410000000,33.89,2022580000000,1.77491e+21,63.6814,-124.22,3584.85,3.159,-0.0575,33.53
C,1700.28,30367000000,2.97814e+23,34406600000000,56.546,2512960000000,3.00775e+22,987.909,-5671.2,4917.22,3.905,-0.3542,17.222
C,1117.97,18451000000,2.37424e+23,28229800000000,274.943,11121600000000,1.41451e+22,603.709,-903.45,6146.73,3.923,-0.0929,40.877
C,990.611,20195000000,1.09102e+23,20809400000000,55.338,1823700000000,1.76904e+22,634.437,-3456.7,2829.23,3.448,-0.3247,10.903
C,2276.14,37187000000,3.40564e+23,41327200000000,242.069,5373510000000,3.45657e+22,1019.67,-7294.8,5200.99,4.504,-0.3721,18.643
C,939.032,15053000000,1.12505e+23,19528500000000,79.471,3149260000000,1.46971e+22,526.316,-2827.5,3835.16,3.923,-0.3563,14.537
C,701.634,7662900000,7.0804e+22,14886000000000,141.687,7980990000000,7.37464e+21,414.381,-912.56,4219.59,3.799,-0.2259,22.58
C,908.404,18015000000,1.29576e+23,21081400000000,15.285,1307590000000,1.69368e+22,405.882,-3143.0,3464.57,3.913,-0.3309,15.453
C,784.957,11587000000,1.73506e+23,16941700000000,125.953,2505610000000,7.57139e+21,407.945,-342.81,9405.88,3.784,-0.0561,51.62
C,941.329,16055000000,1.58211e+23,15843100000000,114.506,3246980000000,1.30727e+22,344.171,-3202.0,6618.74,4.065,-0.3783,20.012
C,281.818,3482500000,3.41753e+22,5814790000000,134.517,3886290000000,2.11938e+21,115.978,232.79,5663.19,3.75,0.1268,45.995
C,3672.28,52633000000,5.49199e+23,88370200000000,455.642,24857400000000,5.2634e+22,2395.02,-5763.8,4288.63,4.45,-0.2077,26.647
C,515.019,6552200000,5.7851e+22,10421800000000,12.704,1402210000000,4.33103e+21,282.85,-437.92,5826.01,3.313,-0.1268,34.947
C,2804.54,42136000000,5.40089e+23,69886700000000,36.85,9800650000000,3.15802e+22,1864.76,-945.43,6631.34,4.46,-0.0426,40.426
C,1642.62,27568000000,2.68848e+23,27719300000000,92.616,3367720000000,2.61366e+22,623.386,-5301.3,5552.21,4.374,-0.3648,19.92
C,747.326,12319000000,4.14993e+22,19691800000000,95.799,4695530000000,9.45066e+21,893.715,-82.999,1693.96,2.818,-0.0128,11.427
